Familia;Formato;Color;Modelo;;Imagen;Desc._Familia;Desc._Articulo;Estado;Tarifa;Tarifa_Cial.;PV_Calidad_100;Grupo_Tarifa;Desc._Caja;Desc._Marca;Desc._Envase;EAN13;;Cod._SASO;UM;Pz/Caja;M2/Caja;Cj/Pallet;M2/Pallet;Kg/Caja;Kg/Pallet;Largo_PL_cm;Ancho_PL_cm;Alto_PL_cm;Remontable;Espesor_(mm);Fecha_de_alta;Desc._Marca_web;Desc._Serie_promo;Desc._Familia_web;Id._Articulo;Moodboard;Coleccion_web;Serie_web;Efecto_web;Gama_web;Tipo_de_uso;Tipo_complementario;Tipo_clasificacion;Acabado_pieza_web;Variacion_cromatica;Relieve_web;Relieve;Texturizado;Graficas;UNE-EN_ISO_10545-7;UNE_41901:2017_EX;Deslizamiento_DIN_51130;DIN_51097;Grupo_B(X)_UNE-EN_14411;Tipo_baldosa;PTV_(DRY);PTV_(WET);UPEC;DCOF_ANSI_A326.3;Resistencia_flexion;Marca_web;Ref._Catalogo;Formato;Catalogo_web;URL_imagen_PIM;Estado_PIM;Ancho;Alto;Espesor_mm;area;Medida;Nombre;Color_ok;Imagen_web;Num_Pagina
28;125;7;11183;0281250013365;NO;PZ.ESP.PASTA BC;1,2x30 ELEGANZA BEIGE;A;SI;SI;3.7500;P15;PAMESA;PAMESA;F/80/45;8429991786328;;;PZ;45;0.17;80;13.60;1.85;168.00;120.00;80.00;;;;25/11/2022;;;;0281250013365;;;;;;;;;;;;NO;;;;SIN CLASE;;;GRUPO BIII;GL Esmaltado;;;NO;;;;028.125.0007.11183;1,25x30;CATLOGO PAMESA;;;1,2;30;;36;1.2x30;ELEGANZA;BEIGE;https://www.pamesa.com/ERP/4.0/empresas/151/045/imagenes/t00010602/0281250013365.jpg;489
28;125;150;11183;0281250015102;NO;PZ.ESP.PASTA BC;1,2x30 ELEGANZA BIANCO;A;SI;SI;3.7500;P15;PAMESA;PAMESA;F/80/45;8429991786335;;;PZ;45;0.17;80;13.60;1.85;168.00;120.00;80.00;;;;25/11/2022;;;;0281250015102;;;;;;;;;;;;NO;;;;SIN CLASE;;;GRUPO BIII;GL Esmaltado;;;NO;;;;028.125.0150.11183;1,25x30;CATLOGO PAMESA;;;1,2;30;;36;1.2x30;ELEGANZA;BIANCO;https://www.pamesa.com/ERP/4.0/empresas/151/045/imagenes/t00010602/0281250015102.jpg;489
28;125;158;11183;0281250013361;NO;PZ.ESP.PASTA BC;1,2x30 ELEGANZA BLU;A;SI;SI;3.7500;P15;PAMESA;PAMESA;F/80/45;8429991786397;;;PZ;45;0.17;80;13.60;1.85;168.00;120.00;80.00;;;;25/11/2022;;;;0281250013361;;;;;;;;;;;;NO;;;;SIN CLASE;;;GRUPO BIII;GL Esmaltado;;;NO;;;;028.125.0158.11183;1,25x30;CATLOGO PAMESA;;;1,2;30;;36;1.2x30;ELEGANZA;BLU;https://www.pamesa.com/ERP/4.0/empresas/151/045/imagenes/t00010602/0281250013361.jpg;489
28;125;213;11183;0281250013366;NO;PZ.ESP.PASTA BC;1,2x30 ELEGANZA GRIGIO;A;SI;SI;3.7500;P15;PAMESA;PAMESA;F/80/45;8429991786373;;;PZ;45;0.17;80;13.60;1.85;168.00;120.00;80.00;;;;25/11/2022;;;;0281250013366;;;;;;;;;;;;NO;;;;SIN CLASE;;;GRUPO BIII;GL Esmaltado;;;NO;;;;028.125.0213.11183;1,25x30;CATLOGO PAMESA;;;1,2;30;;36;1.2x30;ELEGANZA;GRIGIO;https://www.pamesa.com/ERP/4.0/empresas/151/045/imagenes/t00010602/0281250013366.jpg;489
28;125;37;11183;0281250013364;NO;PZ.ESP.PASTA BC;1,2x30 ELEGANZA PERLA;A;SI;SI;3.7500;P15;PAMESA;PAMESA;F/80/45;8429991786342;;;PZ;45;0.17;80;13.60;1.85;168.00;120.00;80.00;;;;25/11/2022;;;;0281250013364;;;;;;;;;;;;NO;;;;SIN CLASE;;;GRUPO BIII;GL Esmaltado;;;NO;;;;028.125.0037.11183;1,25x30;CATLOGO PAMESA;;;1,2;30;;36;1.2x30;ELEGANZA;PERLA;https://www.pamesa.com/ERP/4.0/empresas/151/045/imagenes/t00010602/0281250013364.jpg;489
28;125;942;11183;0281250013358;NO;PZ.ESP.PASTA BC;1,2x30 ELEGANZA SAGGIO;A;SI;SI;3.7500;P15;PAMESA;PAMESA;F/80/45;8429991786380;;;PZ;45;0.17;80;13.60;1.85;168.00;120.00;80.00;;;;25/11/2022;;;;0281250013358;;;;;;;;;;;;NO;;;;SIN CLASE;;;GRUPO BIII;GL Esmaltado;;;NO;;;;028.125.0942.11183;1,25x30;CATLOGO PAMESA;;;1,2;30;;36;1.2x30;ELEGANZA;SAGGIO;https://www.pamesa.com/ERP/4.0/empresas/151/045/imagenes/t00010602/0281250013358.jpg;489
28;125;53;11183;0281250013363;NO;PZ.ESP.PASTA BC;1,2x30 ELEGANZA SIENA;A;SI;SI;3.7500;P15;PAMESA;PAMESA;F/80/45;8429991786366;;;PZ;45;0.17;80;13.60;1.85;168.00;120.00;80.00;;;;25/11/2022;;;;0281250013363;;;;;;;;;;;;NO;;;;SIN CLASE;;;GRUPO BIII;GL Esmaltado;;;NO;;;;028.125.0053.11183;1,25x30;CATLOGO PAMESA;;;1,2;30;;36;1.2x30;ELEGANZA;SIENA;https://www.pamesa.com/ERP/4.0/empresas/151/045/imagenes/t00010602/0281250013363.jpg;489
28;125;56;11183;0281250013362;NO;PZ.ESP.PASTA BC;1,2x30 ELEGANZA TERRA;A;SI;SI;3.7500;P15;PAMESA;PAMESA;F/80/45;8429991786359;;;PZ;45;0.17;80;13.60;1.85;168.00;120.00;80.00;;;;25/11/2022;;;;0281250013362;;;;;;;;;;;;NO;;;;SIN CLASE;;;GRUPO BIII;GL Esmaltado;;;NO;;;;028.125.0056.11183;1,25x30;CATLOGO PAMESA;;;1,2;30;;36;1.2x30;ELEGANZA;TERRA;https://www.pamesa.com/ERP/4.0/empresas/151/045/imagenes/t00010602/0281250013362.jpg;489
41;421;198;9727;0414211989727;SI;PZ.E.CGLASS REC;32X120/3PEL.ANG ADZ.VIGGO ARCE;A;SI;SI;79.2500;XTRS01;PAMESA;PAMESA;F/14/02;;;;PZ;2;0.77;14;10.78;22.00;328.00;120.00;80.00;;;;25/02/2021;ATRIUM;SERIE ATRIUM;TIERRA COLOREADA-GRES PORCELNICO;0414211989727;;ATRIUM GRES PORCELNICO TIERRA COLOREADA;VIGGO;MADERA;;PAVIMENTO;PELDAя;;MATE RECTIFICADO;VARIACION ALTA;;;;;;CLASE 3;R11;C;GRUPO AIb;GL Esmaltado;50 Low;40 Low;NO;;>1500 N - >=29 N/mm2;3;041.421.0198.09727;32X120 EXTRUS.;CATLOGO PAMESA;;;;;;;;ADZ.VIGGO;ARCE;https://www.pamesa.com/ERP/4.0/empresas/151/045/imagenes/t00010602/0414211989727.jpg;???
41;421;34;9727;0414210349727;SI;PZ.E.CGLASS REC;32X120/3PEL.ANG ADZ.VIGGO NOGAL;A;SI;SI;79.2500;XTRS01;PAMESA;PAMESA;F/14/02;8429991621728;;;PZ;2;0.77;14;10.78;22.00;328.00;120.00;80.00;;;;25/02/2021;ATRIUM;SERIE ATRIUM;TIERRA COLOREADA-GRES PORCELNICO;0414210349727;;ATRIUM GRES PORCELNICO TIERRA COLOREADA;VIGGO;MADERA;;PAVIMENTO;PELDAя;;MATE RECTIFICADO;VARIACION ALTA;;SIN INFORMAR;;;;CLASE 3;R11;C;GRUPO AIb;GL Esmaltado;50 Low;40 Low;;;>1500 N - >=29 N/mm2;3;041.421.0034.09727;32X120 EXTRUS.;CATLOGO PAMESA;;;;;;;;ADZ.VIGGO;NOGAL;https://www.pamesa.com/ERP/4.0/empresas/151/045/imagenes/t00010602/0414210349727.jpg;???
